variant,tick,visible,true_x,true_y,prediction_x,prediction_y,error
learned_structure,0,True,69.05,24.74,75.0,25.0,5.955677963086993
learned_structure,1,True,70.1,25.479999999999997,75.0,25.03502855063945,4.920162557349714
learned_structure,2,True,71.14999999999999,26.219999999999995,75.00210571254901,25.16111422654685,3.9949915521655672
learned_structure,3,True,72.19999999999999,26.959999999999994,75.13249693913302,25.398581148901407,3.3222834205694474
learned_structure,4,True,73.24999999999999,27.699999999999992,75.26937737648277,25.61601061647043,2.9018781399835523
learned_structure,5,True,74.29999999999998,28.43999999999999,75.37323249528492,25.793873308998567,2.855488479011198
learned_structure,6,True,75.34999999999998,29.17999999999999,75.44828524820203,25.942473203586925,3.2390183308383387
learned_structure,7,True,76.39999999999998,29.919999999999987,75.49921231968457,26.065778219178842,3.9580858986085845
learned_structure,8,False,77.44999999999997,30.659999999999986,75.61641293882947,26.314510363641823,4.716494640152588
learned_structure,9,False,78.49999999999997,31.399999999999984,75.7606414199982,26.585744654634762,5.539055872638131
learned_structure,10,False,79.54999999999997,32.139999999999986,75.89325289393773,26.86023738797208,6.422436658859494
learned_structure,11,False,80.59999999999997,32.87999999999999,76.00239893386674,27.124255499077982,7.3665819973175655
learned_structure,12,False,81.64999999999996,33.61999999999999,76.07466306931899,27.34232981669586,8.396042211718619
learned_structure,13,False,82.69999999999996,34.35999999999999,76.11198151608697,27.414666134823396,9.572860076442572
learned_structure,14,False,83.74999999999996,35.099999999999994,76.15037265073668,27.48866450766808,10.755778159877686
learned_structure,15,False,84.79999999999995,35.839999999999996,76.1897903143626,27.564162467798205,11.942579189188708
learned_structure,16,False,85.84999999999995,36.58,76.2301726059391,27.640958004677447,13.131928681106356
learned_structure,17,False,86.89999999999995,37.32,76.27144354145781,27.718815062756093,14.323022187777866
learned_structure,18,True,87.94999999999995,38.06,90.50629867369163,40.631066010079984,3.6256093746164195
learned_structure,19,True,88.99999999999994,38.800000000000004,91.12184283396387,41.597045539018744,3.510794889962769
learned_structure,20,True,90.04999999999994,39.540000000000006,91.08170999977014,41.96769563494101,2.6378270639936625
learned_structure,21,True,91.09999999999994,40.28000000000001,90.95697147542249,42.17983651722183,1.905212836145175
learned_structure,22,True,92.14999999999993,41.02000000000001,90.83099424793096,42.32531521428975,1.8557004021790038
learned_structure,23,True,93.19999999999993,41.76000000000001,90.72060564352401,42.433026961925854,2.5691169039971262
learned_structure,24,True,94.24999999999993,42.500000000000014,90.6283963976417,42.51544580158301,3.621636539660031
learned_structure,25,True,95.29999999999993,43.240000000000016,90.55321161949453,42.57934566330737,4.792542548782619
prediction_plastic_paths_ablated,0,True,69.05,24.74,75.0,25.0,5.955677963086993
prediction_plastic_paths_ablated,1,True,70.1,25.479999999999997,75.0,25.0,4.923454072092077
prediction_plastic_paths_ablated,2,True,71.14999999999999,26.219999999999995,75.0,25.0,4.038675525466245
prediction_plastic_paths_ablated,3,True,72.19999999999999,26.959999999999994,75.0,25.0,3.4178355724054423
prediction_plastic_paths_ablated,4,True,73.24999999999999,27.699999999999992,75.0,25.0,3.217530108639235
prediction_plastic_paths_ablated,5,True,74.29999999999998,28.43999999999999,75.0,24.999999999999996,3.510498540093698
prediction_plastic_paths_ablated,6,True,75.34999999999998,29.17999999999999,75.0,25.0,4.1946275162402555
prediction_plastic_paths_ablated,7,True,76.39999999999998,29.919999999999987,75.0,24.999999999999996,5.115310352266014
prediction_plastic_paths_ablated,8,False,77.44999999999997,30.659999999999986,75.0,25.0,6.167503546816954
prediction_plastic_paths_ablated,9,False,78.49999999999997,31.399999999999984,75.0,24.999999999999996,7.294518489934729
prediction_plastic_paths_ablated,10,False,79.54999999999997,32.139999999999986,75.0,25.0,8.466528214091035
prediction_plastic_paths_ablated,11,False,80.59999999999997,32.87999999999999,75.0,25.0,9.667181595480631
prediction_plastic_paths_ablated,12,False,81.64999999999996,33.61999999999999,75.0,25.0,10.887006016348082
prediction_plastic_paths_ablated,13,False,82.69999999999996,34.35999999999999,75.0,25.0,12.120214519553656
prediction_plastic_paths_ablated,14,False,83.74999999999996,35.099999999999994,75.0,25.0,13.36310218474734
prediction_plastic_paths_ablated,15,False,84.79999999999995,35.839999999999996,75.0,25.000000000000007,14.613199512769231
prediction_plastic_paths_ablated,16,False,85.84999999999995,36.58,75.0,25.0,15.86880272736412
prediction_plastic_paths_ablated,17,False,86.89999999999995,37.32,75.0,25.0,17.128701059916914
prediction_plastic_paths_ablated,18,True,87.94999999999995,38.06,90.63236163224069,40.63236163224069,3.7164644883465763
prediction_plastic_paths_ablated,19,True,88.99999999999994,38.800000000000004,91.38228003485386,41.38228003485387,3.5133215541519225
prediction_plastic_paths_ablated,20,True,90.04999999999994,39.540000000000006,91.55412025293691,41.554120252936904,2.513773682849308
prediction_plastic_paths_ablated,21,True,91.09999999999994,40.28000000000001,91.6140523910038,41.6140523910038,1.429666269672655
prediction_plastic_paths_ablated,22,True,92.14999999999993,41.02000000000001,91.63967284350804,41.63967284350803,0.8027628788343545
prediction_plastic_paths_ablated,23,True,93.19999999999993,41.76000000000001,91.65199888414382,41.65199888414382,1.551764059294435
prediction_plastic_paths_ablated,24,True,94.24999999999993,42.500000000000014,91.65839125161486,41.658096599584866,2.7249288505090585
prediction_plastic_paths_ablated,25,True,95.29999999999993,43.240000000000016,91.66187698625818,41.661050268843034,3.965983020215548
