tick,gate,pitch_control,energy_control,airflow_control,tension_control,rms,peak,f0_hz,control_vowel_a,control_vowel_i,control_vowel_u,control_vowel_e,control_vowel_o,control_vowel_y,control_consonant_m,control_consonant_n,control_consonant_p,control_consonant_b,control_consonant_t,control_consonant_d,control_consonant_k,control_consonant_g,control_consonant_f,control_consonant_s,control_consonant_sh,control_consonant_h,control_consonant_r,control_consonant_y,control_consonant_w,organ_activity_0,organ_activity_1,organ_activity_2,organ_activity_3,organ_activity_4,organ_activity_5,organ_activity_6,organ_activity_7,organ_activity_8,organ_activity_9,organ_activity_10,organ_activity_11,organ_activity_12,organ_activity_13,organ_activity_14,organ_activity_15,organ_activity_16,organ_activity_17,organ_activity_18,organ_activity_19,organ_activity_20,organ_activity_21,organ_activity_22,organ_activity_23,organ_activity_24,organ_activity_25,spectrum_0,spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_change_0,spectrum_change_1,spectrum_change_2,spectrum_change_3,spectrum_change_4,spectrum_change_5,spectrum_change_6,spectrum_change_7
27,1.0,0.58,0.68,0.18,0.68,0.0671848402454343,0.21345637738704681,245.80374666958733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799693555648748,0.5800016912212435,0.6799768004289,0.17999997974366855,0.6799999797436687,0.9996645373720976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013528275997183894,0.017515595817898674,0.005505541210277834,0.011652735106024657,0.0009034103906446661,0.0004199246991183906,5.859944872332693e-05,5.998450511207647e-05,0.0013436273176425997,0.0005623098953368641,0.0009324432608323009,0.0024892225061521438,0.00027859310101743166,5.643646399145256e-06,1.5049635808682922e-06,3.5547994827457463e-06
28,1.0,0.58,0.68,0.18,0.68,0.0585813872373374,0.1932290494441986,245.8034958192177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799826945316638,0.5800009550632845,0.679986898781777,0.17999998856088253,0.6799999885608826,0.9997849079419378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013218914916440986,0.01582094011193657,0.004534562101478137,0.009451429671359928,0.0009741732695153199,0.0003730003869159145,5.8117738166771204e-05,6.218073602241212e-05,0.0003093610807429082,0.0016946557059621045,0.000970979108799697,0.0022013054346647284,7.076287887065381e-05,4.692431220247606e-05,4.817105565557236e-07,2.1962309103356494e-06
29,1.0,0.58,0.68,0.18,0.68,0.053087195397769,0.15571290254592896,245.80335415958118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799902272883052,0.5800005393415444,0.6799926015046491,0.17999999354012305,0.6799999935401231,0.9998620871906635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015845182778389907,0.016750993500198607,0.003618206162973712,0.006536533499296924,0.0008862838526207837,0.00025329780693867065,5.137105866673155e-05,5.7088632991441164e-05,0.002626267861948922,0.0009300533882620372,0.0009163559385044254,0.0029148961720630046,8.788941689453621e-05,0.00011970257997724387,6.746679500039656e-06,5.092103030970953e-06
30,1.0,0.58,0.68,0.18,0.68,0.07938743001694315,0.31907790899276733,245.80327416185338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799944811725771,0.5800003045759441,0.6799958219355998,0.17999999635199043,0.6799999963519905,0.9999115730113401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010543252056516952,0.009924923217989799,0.004881772507140378,0.012438951192611503,0.0013177551415267945,0.0007546613798167385,5.901318059578806e-05,6.22144379191688e-05,0.005301930721872955,0.0068260702822088085,0.001263566344166666,0.0059024176933145794,0.00043147128890601077,0.0005013635728780678,7.642121929056511e-06,5.12580492772763e-06
31,0.0,0.63,0.0,0.18,0.68,0.13961127186516106,0.3800697922706604,253.33247953040797,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4998921496833827,0.6017642658991672,0.3840059635365946,0.17999999793990287,0.679999997939903,0.7128876130930271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006727290281432204,0.017589618863712624,0.010274339693897077,0.03102989777091398,0.0022048787243553946,0.0015795560792296215,5.21680845148425e-05,5.3530711611018325e-05,0.009870523028373731,0.007664695645722825,0.0053925671867566995,0.018590946578302476,0.0008871235828286001,0.000824894699412883,6.845096080945561e-06,8.683726308150468e-06
32,0.0,0.63,0.0,0.18,0.68,0.10151430980585105,0.29014402627944946,257.68580426109327,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36749145505440195,0.6140547692650673,0.2168551265681658,0.17999999883662582,0.6799999988366259,0.5288534789838993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030246331415148856,0.01369340772393055,0.007884306935961002,0.023242959824882073,0.0015633539156182426,0.001468354168535249,3.797283368928681e-05,4.193938211850823e-05,0.0003702657139917319,0.003896211139782073,0.0023900327579360753,0.007786937946031906,0.000641524808737152,0.00011120191069437257,1.4195250825555688e-05,1.1591329492510097e-05
33,0.0,0.63,0.0,0.18,0.68,0.07831375299287405,0.21452100574970245,260.1771750653684,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27015821237348553,0.6209954392443884,0.12246201982332953,0.17999999934302152,0.6799999993430216,0.4108544013914385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.160322955782034e-05,0.010574154355290797,0.006405858602738268,0.016659696362050242,0.0014437210620683709,0.0010976248389948605,2.778050398203287e-05,3.326846261397199e-05,0.00022086008459366822,0.003119253368639753,0.0014784483332227344,0.006583263462831831,0.00011963285354987178,0.00037072932954038845,1.019232970725394e-05,8.670919504536236e-06
34,0.0,0.63,0.0,0.18,0.68,0.06659517406430013,0.15656523406505585,261.59472445049414,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19860450823824688,0.6249149613605862,0.06915652185190765,0.17999999962899235,0.6799999996289924,0.33519570698632806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019809173524744177,0.009212896466232494,0.0059588555449585625,0.014705458849580284,0.0025655375743455604,0.0005815920221455217,1.9170487619236633e-05,2.1111301853009735e-05,0.00011648850568962143,0.0013612578890583038,0.00044700305777970514,0.001954237512469958,0.0011218165122771895,0.0005160328168493389,8.610016362796237e-06,1.2157160760962257e-05
35,1.0,0.605,0.68,0.18,0.68,0.06298572909401928,0.14236870408058167,258.469885848572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30234736476882884,0.6162463395794073,0.3350456181795216,0.17999999979048525,0.6799999997904853,0.21492091360554708,0.3588196115700454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010445353979743276,0.024437221971946466,0.001859020123818453,0.005216551320606744,0.0006666627259450007,0.001117682279389073,2.3584916766320152e-05,2.5609548876915193e-05,0.0008464436627268858,0.015224325505713973,0.004099835421140109,0.00948890752897354,0.0018988748484005597,0.0005360902572435512,4.4144291470835196e-06,4.4982470239054575e-06
36,1.0,0.605,0.68,0.18,0.68,0.06234614652995144,0.13956227898597717,256.7217532156656,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44137766283925894,0.6113510117667444,0.4851980093199919,0.17999999988168322,0.6799999998816832,0.1378030748673254,0.5888877094928125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012897338852857602,0.025138672018062667,0.005334748672085286,0.0034815996607086203,0.00045228615725315325,0.0010259866751053735,3.666301792951757e-05,3.584924302968485e-05,0.0002451984873114326,0.0007014500461162004,0.003475728548266833,0.0017349516598981238,0.00021437656869184742,9.16956042836994e-05,1.3078101163197417e-05,1.023969415276966e-05
37,1.0,0.605,0.68,0.18,0.68,0.07135680733508858,0.1314287632703781,255.7397798578447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5391692778248172,0.6085865314377651,0.5699917856598128,0.17999999993318436,0.6799999999331844,0.08835662907027382,0.7364028618842732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019419309180351927,0.029859651173112498,0.0046763145751135635,0.002653330835645297,0.0004201110835065322,0.0012583002755967888,4.720647235630011e-05,4.5454421469247444e-05,0.0006521970327494325,0.004720979155049831,0.0006584340969717226,0.0008282688250633233,3.217507374662107e-05,0.00023231360049141532,1.0543454426782544e-05,9.605178439562592e-06
