control,destination,mean_absolute_waveform_change,normalized_spectrum_distance,spectral_centroid_hz,f0_delta_hz
tract_length,0.1,0.016416913583202113,0.046928316879945794,1486.390591011091,0.0
glottal_depth,0.1,0.015579493889865613,0.028743283831075935,1458.1453411769555,0.0
brightness,0.1,0.013795901696822477,0.04090162735718948,1317.5161041322287,0.0
breathiness,0.9,0.036947942043418225,0.36085211869809025,8779.013651796078,0.0
roughness,0.9,0.013031978218764617,0.12301070435464638,5755.483859844582,0.0
nasality,0.9,0.5166417364723421,0.9964675070662511,662.9150155588434,0.0
resonance,0.9,0.06026386891660281,0.2985891499087478,1230.2442022597027,0.0
